field,name,university,duration,url,language,city,country,mode,deadline,pace,tution_amount,tution_currency
Administration-Studies,Master in Public Administration MPA,"Augusta University Pamplin College of Arts, Humanities and Social Sciences",null,null,"[""English""]",Augusta,USA,[],null,[],null,null
Administration-Studies,Master Human Resource Development,Formasup Campus,2 years,null,"[""French""]",Bordeaux,France,"[""Campus""]",null,"[""Part-time""]",5837,EUR
Administration-Studies,Master of Business: HR Management,The University of Wollongong in Dubai,18&nbsp;-&nbsp;24 months,null,"[""English""]",Dubai,United Arab Emirates,"[""Campus""]",null,"[""Full-time""]",8967, AED
Administration-Studies,Master in Neuromanagement and Talent Management,Instituto Superior De Estudios Psicol\u00f3gicos ISEP,null,null,"[""Spanish""]",Madrid,Spain,"[""Campus"",""Online""]",null,"[""Part-time""]",9000,EUR
Administration-Studies,Master Human Development,Schouten & Nelissen University of Applied Sciences,null,null,"[""Dutch""]",Zaltbommel,Netherlands,"[""Campus""]",null,[],null,null
Administration-Studies,Master in Public Administration,Central South University,null,null,"[""Chinese""]",Changsha,China,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Human Resource,Atlantic International University Masters Programs,null,null,"[""English""]",Honolulu,USA,"[""Online""]",null,[],null,null
Administration-Studies,Master of Science in Operations and Technology Management - MSOTM,"University of Portland, Pamplin School of Business",9 months,null,"[""English""]",Portland,USA,"[""Campus""]",null,"[""Part-time""]",4500,USD
Administration-Studies,Masters in People Management in the Workplace,UQAR,2 years,https://www.uqar.ca/nouvelles/uqar-info/3255-informations-et-precisions-sur-la-covid-19-coronavirus,"[""French""]",Rimouski,Canada,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Online Master of Administration,Universidad \u00cdtaca,2 years,null,"[""Spanish""]",Mexico City,Mexico,"[""Online""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,SPECIALIZATION IN HUMAN TALENT MANAGEMENT,Fundacion Universitaria CEIPA,null,null,"[""Spanish (Colombia)""]",Sabaneta,Colombia,"[""Campus""]",null,[],null,null
Administration-Studies,MASTER'S DEGREE IN VALUE NETWORK MANAGEMENT AND LOGISTICS,Pilot university of Colombia,null,null,"[""Spanish (Colombia)""]",Bogotá,Colombia,"[""Campus""]",null,[],null,null
Administration-Studies,GRADUATE PROGRAM IN ADMINISTRATION,Federal University Of Sergipe,null,null,"[""Portuguese (Brazil)""]",s/n,Brazil,"[""Campus""]",null,[],null,null
Administration-Studies,"MASTER OF SCIENCE, Justice Administration and Crime Management Degree",Bellevue University College of Arts and Sciences,36 hours,null,"[""English""]",Bellevue,USA,"[""Campus"",""Online""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,Master of Science in Logistics and Supply Chain Management,Wright State University,2 years,null,"[""English""]",Dayton,USA,"[""Campus""]",null,"[""Full-time""]",28596,USD
Administration-Studies,MASTER OF BUSINESS ADMINISTRATION,Massachusetts College Of Liberal Arts,null,null,"[""English""]",North Adams,USA,"[""Campus""]",null,[],null,null
Administration-Studies,Master in Human Development,UNITAU - University Of Taubate,null,null,"[""Portuguese (Brazil)""]",São Paulo,Brazil,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Business Administration,Amity Global Business School,null,null,"[""English""]",Singapore,Singapore,"[""Campus""]",null,[],null,null
Administration-Studies,MPA: Criminal Justice and Public Safety,Norwich University Online,18 months,null,"[""English""]",Northfield,USA,"[""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,Master in Global Supply Chain Management,Antwerp Management School,1 year,null,"[""English""]",Antwerp,Belgium,"[""Campus""]","""15 Jun 2022""","[""Full-time""]",16500,EUR
Administration-Studies,English for Logistics,Imac Ingl\u00e9s Total,null,null,"[""Spanish (Mexican)""]",Zapopan,Mexico,"[""Campus""]",null,[],null,null
Administration-Studies,Master in Research in Public Administration and Organisational Science,Utrecht University,2 years,null,"[""English""]",Utrecht,Netherlands,"[""Campus""]",null,"[""Full-time""]",2168,EUR
Administration-Studies,MSc International Human Resource Management,University of Liverpool Online Programmes,3 years,https://online.liverpool.ac.uk/programmes/msc-international-hr-management/?utm_source=masterstudies&utm_medium=course-listing&utm_campaign=msc-international-hr-management,"[""English""]",Liverpool,United Kingdom,"[""Online""]",null,"[""Part-time""]",18000,GBP
Administration-Studies,Master of Public Administration,Albertus Magnus College,null,null,"[""English""]",New Haven,USA,[],null,[],null,null
Administration-Studies,Master of Human Resource Development,Clemson University College of Education,null,null,"[""English""]",Clemson,USA,[],null,[],null,null
Administration-Studies,Master of Science in Logistics and Supply Chain Management,Embry-Riddle Aeronautical University Worldwide Online,null,null,"[""English""]",Fairfield,USA,[],null,[],null,null
Administration-Studies,MSc International Transportation Management,State University of New York Maritime College,null,null,[],The Bronx,USA,[],null,[],null,null
Administration-Studies,Master of Public Administration,University of Illinois at Chicago College of Urban Planning and Public Affairs,15 months,null,"[""English""]",Chicago,USA,"[""Campus""]",null,"[""Full-time""]",7830,USD
Administration-Studies,MSc in Operations Management & Logistics,Eindhoven University of Technology,2 years,null,"[""English""]",Eindhoven,Netherlands,"[""Campus""]","""01 May 2022""","[""Full-time""]",1084,EUR
Administration-Studies,Master in Human Talent Management (International),Universidad Panamericana de Guatemala,18 months,null,"[""Spanish""]",Guatemala City,Guatemala,"[""Online""]",null,"[""Full-time""]",900,USD
Administration-Studies,Master in Occupational Risk Prevention Management,Universidad de Leon,1 year,null,"[""Spanish""]",León,Spain,"[""Campus""]",null,"[""Full-time""]",2550,EUR
Administration-Studies,MASTER OF BUSINESS ADMINISTRATION IN BUSINESS ADMINISTRATION,Cameron University inc business,null,null,"[""English""]",Oklahoma City,USA,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Science in Business Process Control and Supply Chain Management - Specialization: Frontiers in Logistics and Supply Chain Management,Linnaeus University,2 years,null,"[""English""]",Växjö,Sweden,"[""Campus""]","""17 Jan 2022""","[""Full-time""]",269400,SEK
Administration-Studies,Master in Human Talent Management,Benito Ju\u00e1rez University,null,null,"[""Spanish (Mexican)""]",Puebla City,Mexico,"[""Campus""]",null,[],null,null
Administration-Studies,MS in Human Resource Management and Development,"National-Louis University, College of Management & Business",null,null,[],Chicago,USA,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master of Science in Transport and Logistics,Technical University of Denmark,2 years,https://www.dtu.dk/english/Service/coronavirus,"[""English""]",Lyngby,Denmark,"[""Campus""]","""15 Jan 2022""","[""Full-time""]",7500,EUR
Administration-Studies,Master in Public Administration,Hawaii Pacific University,1 year,null,"[""English""]",Honolulu,USA,"[""Online""]",null,"[""Full-time"",""Part-time""]",850,USD
Administration-Studies,Master in Leadership and Human Resources Management,Saint Joseph University of Beirut,2 years,null,"[""English""]",Beirut,Lebanon,"[""Campus""]",null,"[""Full-time""]",21360,USD
Administration-Studies,"Master in Transport Management, Marketing and Logistics",University of Pardubice,2 years,null,"[""Czech""]",Pardubice,Czech Republic,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master of Human Talent Management,University Of Manizales  (Universidad De Manizales),null,null,"[""Spanish (Colombia)""]",Manizales,Colombia,"[""Campus""]",null,[],null,null
Administration-Studies,Human Resource Management MA,University of Westminster,1 year,https://www.westminster.ac.uk/human-resource-management-ma?utm_source=keystone&utm_medium=directory&utm_campaign=2020_profiles_ks_dy_b1_wbs_org_human_resource_management_ma,"[""English""]",London,United Kingdom,"[""Campus""]",null,"[""Full-time""]",12500,GBP
Administration-Studies,Master of Science in Health Analytics and Operations Management,Lingnan University,1&nbsp;-&nbsp;2 years,null,"[""English"",""Chinese""]",Tuen Mun,Hong Kong,"[""Campus""]",null,"[""Full-time"",""Part-time""]",150000,HKD
Administration-Studies,Master of Public Administration,Seton Hall University Online,24&nbsp;-&nbsp;36 months,null,"[""English""]",South Orange,USA,"[""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,MSc Human Resource Management,Royal Holloway University of London,1 year,null,"[""English""]",Egham,United Kingdom,"[""Online & Campus Combined"",""Campus"",""Online""]",null,"[""Full-time""]",22000,GBP
Administration-Studies,Master in Public Affairs,Brown University,null,null,"[""English""]",College Hill,USA,[],null,[],null,null
Administration-Studies,Master Of Public Administration,Baruch College Austin W. Marxe School of Public and International Affairs,2 years,null,"[""English""]",New York,USA,"[""Campus""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,Master in Business Management and Human Resources,"Catholic University of Culiacan (Universidad Cat\u00f3lica de Culiac\u00e1n, A.C. (UCC)",null,null,"[""Spanish (Mexican)""]",Culiacán,Mexico,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Organization Administration,National Open and Distance University (Universidad Nacional Abierta y a Distancia (UNAD)),null,null,"[""Spanish (Colombia)""]",Bogotá,Colombia,"[""Campus""]",null,[],null,null
Administration-Studies,MASTER OF MANAGEMENT NONPROFIT MANAGEMENT,ICO NIDA International College,null,null,"[""English"",""Chinese""]",Bangkok,Thailand,[],null,[],null,null
Administration-Studies,Executive Master in Change (EMC),INSEAD,18 months,https://www.insead.edu/master-programmes/emc/admissions,"[""English""]",Fontainebleau,France,"[""Campus""]",null,"[""Part-time""]",60800,EUR
Administration-Studies,Online Masters of Public Administration,University of Birmingham Online,30 months,https://landing.birmingham.ac.uk/uob/mpa?utm_source=I-%20Masterstudies&utm_medium=listing&utm_campaign=Listing_ms_mpa,"[""English""]",UK Online,United Kingdom,"[""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,MSc In International Trade and Logistics,Kedge Business School,1&nbsp;-&nbsp;2 years,null,"[""English""]",Marseille,France,"[""Campus""]",null,"[""Full-time""]",15000,EUR
Administration-Studies,Master of Administration in International Organisations,"University of Wroclaw - Faculty of Law, Administration and Economics",2 years,https://international.uni.wroc.pl/en/admission-full-degree-studies/programmes-english/administration-international-organizations-18,"[""English""]",Wrocław,Poland,"[""Campus""]",null,"[""Full-time""]",2200,EUR
Administration-Studies,Master in Public Administration,Nazarbayev University,18 months,null,"[""English""]",Nur-Sultan,Kazakhstan,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master of Public Administration,University of Fort Hare,2&nbsp;-&nbsp;4 years,null,"[""English""]",Alice,South Africa,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master of Supply Chain and Logistics Management,Edith Cowan University,4 semesters,null,"[""English""]",Joondalup,Australia,"[""Campus"",""Online""]",null,"[""Full-time""]",null,null
Administration-Studies,Global Master in Human Resources and Talent Development,EAE Business School,12 months,null,"[""Spanish""]",Barcelona,Spain,"[""Online & Campus Combined"",""Campus"",""Online""]",null,"[""Part-time""]",12500,EUR
Administration-Studies,MA in Human Resource Management,London School Of International Business - LSIB,12&nbsp;-&nbsp;18 months,null,"[""English""]",London,United Kingdom,"[""Online""]",null,"[""Full-time""]",7700,GBP
Administration-Studies,Master of Public Affairs,The University of Texas at Dallas,2 years,null,"[""English""]",Richardson,USA,"[""Campus""]",null,"[""Full-time""]",18276,USD
Administration-Studies,Master's Degree in Human Resources Management,ISEB - Instituto Superior Europeo de Barcelona,12 months,null,"[""Spanish""]",Barcelona,Spain,"[""Online""]",null,"[""Full-time""]",11400,EUR
Administration-Studies,Master of Science in Engineering: Logistics and Traffic,KU Leuven,2 years,http://www.kuleuven.be/onlineopendays,"[""English""]",Leuven,Belgium,"[""Campus""]",null,"[""Full-time"",""Part-time""]",null,null
