id,name,city,country,email,rank,city_id
20,IGRIAE Rennes,Rennes,France,igriae.rennes@findmymasters.com,NULL,237
21,Ulster University London Birmingham Campuses,London,United Kingdom,ulster.university.london@findmymasters.com,NULL,119
22,Campus Universitario Europeo,A Corua,Spain,campus.universitario.europeo@findmymasters.com,NULL,NULL
23,University of Delaware Online,Newark,USA,university.of.delaware@findmymasters.com,531-540,NULL
24,Emmanuel College,Boston,USA,emmanuel.college@findmymasters.com,NULL,NULL
25,Ecole Supuerieure Ouverte ue Distance,France Online,France,ecole.supuerieure.ouverte@findmymasters.com,NULL,NULL
26,Dorados University Universidad Dorados,Oaxtepec,Mexico,dorados.university.universidad@findmymasters.com,NULL,NULL
27,Abertay University,Dundee,United Kingdom,abertay.university@findmymasters.com,NULL,NULL
28,Universidade Santiago de Compostela,Santiago de Compostela,Spain,universidade.santiago.de@findmymasters.com,701-750,751
29,GCU Glasgow School for Business and Society,Glasgow,United Kingdom,gcu.glasgow.school@findmymasters.com,NULL,NULL
30,Paneuropean University Apeiron Panevropski Univerzitet Apeiron,Banja Luka,Bosnia and Herzegovina,paneuropean.university.apeiron@findmymasters.com,NULL,NULL
31,Sierra Nevada College,Incline Village,USA,sierra.nevada.college@findmymasters.com,NULL,NULL
32,Bridgewater College,Bridgewater,USA,bridgewater.college@findmymasters.com,NULL,NULL
33,Lund University,Lund,Sweden,lund.university@findmymasters.com,87,NULL
34,Rochester Institute of Technology RIT,Rochester,USA,rochester.institute.of@findmymasters.com,1001-1200,NULL
35,National University Costa Rica,Heredia,Costa Rica,national.university.costa@findmymasters.com,531-540,NULL
36,The Pennsylvania State University Penn State Great Valley School of Graduate Professional Studies,Malvern,USA,the.pennsylvania.state@findmymasters.com,NULL,NULL
37,Southern New Hampshire University,Manchester,USA,southern.new.hampshire@findmymasters.com,NULL,NULL
38,Reinhardt University,Waleska,USA,reinhardt.university@findmymasters.com,NULL,NULL
39,GISMA ULaw,Berlin,Germany,gisma.ulaw@findmymasters.com,NULL,246
40,Rostov State University of Economics,RostovonDon,Russia,rostov.state.university@findmymasters.com,NULL,NULL
41,ENACO,France Online,France,enaco@findmymasters.com,NULL,NULL
42,AIHE Academic Institute for Higher Education GmbH,Lbeck,Germany,aihe.academic.institute@findmymasters.com,NULL,253
43,Columbia Southern University College of Safety and Emergency Services,Orange Beach,USA,columbia.southern.university@findmymasters.com,NULL,NULL
44,Cyprus International Institute of Management,Aglantzia,Cyprus,cyprus.international.institute@findmymasters.com,NULL,NULL
45,Campbellsville University Online,Campbellsville,USA,campbellsville.university.online@findmymasters.com,NULL,NULL
46,Wroclaw University of Science and Technology,Wrocaw,Poland,wroclaw.university.of@findmymasters.com,801-1000,619
47,Porto Polytechnic Institute,Porto,Portugal,porto.polytechnic.institute@findmymasters.com,NULL,626
48,Dublin City University,Dublin,Ireland,dublin.city.university@findmymasters.com,490,379
49,St Thomas Aquinas College,Sparkill,USA,st.thomas.aquinas@findmymasters.com,NULL,NULL
50,Anna Maria College Online,Paxton,USA,anna.maria.college@findmymasters.com,NULL,NULL
51,Georgia Southern University,Statesboro,USA,georgia.southern.university@findmymasters.com,NULL,NULL
52,Trinity College Dublin Business School,Dublin,Ireland,trinity.college.dublin@findmymasters.com,NULL,379
53,Johns Hopkins University Advanced Academic Programs,Washington,USA,johns.hopkins.university@findmymasters.com,NULL,NULL
54,Brandman University,Irvine,USA,brandman.university@findmymasters.com,NULL,NULL
55,Swansea University,Swansea,United Kingdom,swansea.university@findmymasters.com,440,NULL
56,Point Park University School of Education,Pittsburgh,USA,point.park.university@findmymasters.com,NULL,NULL
57,Australian Maritime College,Newnham,Australia,australian.maritime.college@findmymasters.com,NULL,NULL
58,New Mexico State University College of Arts and Sciences,Las Cruces,USA,new.mexico.state@findmymasters.com,651-700,NULL
59,Steinbeis University Berlin Institute Corporate Responsibility Management,Berlin,Germany,steinbeis.university.berlin@findmymasters.com,NULL,246
60,Learn chile,Providencia,Chile,learn.chile@findmymasters.com,NULL,NULL
61,Maranatha Baptist University,Watertown,USA,maranatha.baptist.university@findmymasters.com,NULL,NULL
62,University Of Evry Val DEssonne UEVE,Courcouronnes,France,university.of.evry@findmymasters.com,NULL,NULL
63,Informa Connect,London,United Kingdom,informa.connect@findmymasters.com,NULL,119
64,Albany State University,Albany,USA,albany.state.university@findmymasters.com,NULL,NULL
65,University of Wroclaw,Wrocaw,Poland,university.of.wroclaw@findmymasters.com,NULL,619
66,Universidad Internacional de Andalucueda UNIA,Huelva,Spain,universidad.internacional.de@findmymasters.com,NULL,737
67,UNAM Universidad Nacional Autonoma de Mexico National Autonomous University of Mexico,Mexico City,Mexico,unam.universidad.nacional@findmymasters.com,NULL,503
68,Gori State Teaching University,Gori,Georgia,gori.state.teaching@findmymasters.com,NULL,NULL
69,Euftvufs Loruend University,Budapest,Hungary,euftvufs.loruend.university@findmymasters.com,NULL,283
70,Hertie School,Berlin,Germany,hertie.school@findmymasters.com,NULL,246
71,University of Wollongong Faculty of Business,North Wollongong,Australia,university.of.wollongong@findmymasters.com,193,NULL
72,Sunway University,Shah Alam,Malaysia,sunway.university@findmymasters.com,651-700,NULL
73,Lipscomb University,Nashville,USA,lipscomb.university@findmymasters.com,NULL,NULL
74,Peoples Friendship University Of Russia,Moscow,Russia,peoples.friendship.university@findmymasters.com,NULL,652
75,Universidad Europea,Alcobendas,Spain,universidad.europea@findmymasters.com,NULL,NULL
76,James Madison University,Harrisonburg,USA,james.madison.university@findmymasters.com,NULL,NULL
77,University of Stirling,Stirling,United Kingdom,university.of.stirling@findmymasters.com,471,NULL
78,Siberian University Of Consumer Cooperation Novosibirsk Institute Of Soviet Cooperative Trade,Novosibirsk,Russia,siberian.university.of@findmymasters.com,NULL,657
79,Fontys University of Applied Sciences,Venlo,Netherlands,fontys.university.of@findmymasters.com,NULL,NULL
80,Brazilian School of Public and Business Administration,Rio de Janeiro,Brazil,brazilian.school.of@findmymasters.com,NULL,NULL
81,Universidade Europeia,Lisbon,Portugal,universidade.europeia@findmymasters.com,NULL,624
82,University of Texas Arlington,Arlington,USA,university.of.texas@findmymasters.com,1001-1200,NULL
83,Amberton University,Garland,USA,amberton.university@findmymasters.com,NULL,NULL
84,Mind Development Academy,Cape Town,South Africa,mind.development.academy@findmymasters.com,NULL,711
85,Universiti Malaysia Sarawak,Kuching,Malaysia,universiti.malaysia.sarawak@findmymasters.com,NULL,465
86,ENEB,Barcelona,Spain,eneb@findmymasters.com,NULL,725
87,Arizona State University,Central City,USA,arizona.state.university@findmymasters.com,216,NULL
88,Augusta University Pamplin College of Arts Humanities and Social Sciences,Augusta,USA,augusta.university.pamplin@findmymasters.com,NULL,NULL
89,Formasup Campus,Bordeaux,France,formasup.campus@findmymasters.com,NULL,222
90,The University of Wollongong in Dubai,Dubai,United Arab Emirates,the.university.of@findmymasters.com,NULL,NULL
91,Instituto Superior De Estudios Psicolufgicos ISEP,Madrid,Spain,instituto.superior.de@findmymasters.com,NULL,742
92,Schouten Nelissen University of Applied Sciences,Zaltbommel,Netherlands,schouten.nelissen.university@findmymasters.com,NULL,NULL
93,Central South University,Changsha,China,central.south.university@findmymasters.com,521-530,152
94,Atlantic International University Masters Programs,Honolulu,USA,atlantic.international.university@findmymasters.com,NULL,NULL
95,University of Portland Pamplin School of Business,Portland,USA,university.of.portland@findmymasters.com,NULL,NULL
96,UQAR,Rimouski,Canada,uqar@findmymasters.com,NULL,NULL
97,Universidad ucdtaca,Mexico City,Mexico,universidad.ucdtaca@findmymasters.com,NULL,503
98,Fundacion Universitaria CEIPA,Sabaneta,Colombia,fundacion.universitaria.ceipa@findmymasters.com,NULL,NULL
99,Pilot university of Colombia,Bogot,Colombia,pilot.university.of@findmymasters.com,NULL,170
100,Federal University Of Sergipe,sn,Brazil,federal.university.of@findmymasters.com,NULL,NULL
101,Bellevue University College of Arts and Sciences,Bellevue,USA,bellevue.university.college@findmymasters.com,NULL,NULL
102,Wright State University,Dayton,USA,wright.state.university@findmymasters.com,NULL,NULL
103,Massachusetts College Of Liberal Arts,North Adams,USA,massachusetts.college.of@findmymasters.com,NULL,NULL
104,UNITAU University Of Taubate,So Paulo,Brazil,unitau.university.of@findmymasters.com,NULL,94
105,Amity Global Business School,Singapore,Singapore,amity.global.business@findmymasters.com,NULL,703
106,Norwich University Online,Northfield,USA,norwich.university.online@findmymasters.com,NULL,NULL
107,Antwerp Management School,Antwerp,Belgium,antwerp.management.school@findmymasters.com,233,62
108,Imac Inglues Total,Zapopan,Mexico,imac.inglues.total@findmymasters.com,NULL,NULL
109,Utrecht University,Utrecht,Netherlands,utrecht.university@findmymasters.com,110,NULL
110,University of Liverpool Online Programmes,Liverpool,United Kingdom,university.of.liverpool@findmymasters.com,NULL,NULL
111,Albertus Magnus College,New Haven,USA,albertus.magnus.college@findmymasters.com,NULL,NULL
112,Clemson University College of Education,Clemson,USA,clemson.university.college@findmymasters.com,801-1000,NULL
113,EmbryRiddle Aeronautical University Worldwide Online,Fairfield,USA,embryriddle.aeronautical.university@findmymasters.com,NULL,NULL
114,State University of New York Maritime College,The Bronx,USA,state.university.of@findmymasters.com,NULL,NULL
115,University of Illinois at Chicago College of Urban Planning and Public Affairs,Chicago,USA,university.of.illinois@findmymasters.com,NULL,NULL
116,Eindhoven University of Technology,Eindhoven,Netherlands,eindhoven.university.of@findmymasters.com,125,545
117,Universidad Panamericana de Guatemala,Guatemala City,Guatemala,universidad.panamericana.de@findmymasters.com,NULL,276
118,Universidad de Leon,Len,Spain,universidad.de.leon@findmymasters.com,NULL,NULL
119,Cameron University inc business,Oklahoma City,USA,cameron.university.inc@findmymasters.com,NULL,NULL
120,Linnaeus University,Vxj,Sweden,linnaeus.university@findmymasters.com,NULL,NULL
121,Benito Juuerez University,Puebla City,Mexico,benito.juuerez.university@findmymasters.com,NULL,NULL
122,NationalLouis University College of Management Business,Chicago,USA,nationallouis.university.college@findmymasters.com,NULL,NULL
123,Technical University of Denmark,Lyngby,Denmark,technical.university.of@findmymasters.com,99,NULL
124,Hawaii Pacific University,Honolulu,USA,hawaii.pacific.university@findmymasters.com,NULL,NULL
125,Saint Joseph University of Beirut,Beirut,Lebanon,saint.joseph.university@findmymasters.com,NULL,443
126,University of Pardubice,Pardubice,Czech Republic,university.of.pardubice@findmymasters.com,1001-1200,189
127,University Of Manizales Universidad De Manizales,Manizales,Colombia,university.of.manizales@findmymasters.com,NULL,NULL
128,University of Westminster,London,United Kingdom,university.of.westminster@findmymasters.com,701-750,119
129,Lingnan University,Tuen Mun,Hong Kong,lingnan.university@findmymasters.com,NULL,NULL
130,Seton Hall University Online,South Orange,USA,seton.hall.university@findmymasters.com,NULL,NULL
131,Royal Holloway University of London,Egham,United Kingdom,royal.holloway.university@findmymasters.com,334,NULL
132,Brown University,College Hill,USA,brown.university@findmymasters.com,60,NULL
133,Baruch College Austin W Marxe School of Public and International Affairs,New York,USA,baruch.college.austin@findmymasters.com,NULL,NULL
134,Catholic University of Culiacan Universidad Catuflica de Culiacuen AC UCC,Culiacn,Mexico,catholic.university.of@findmymasters.com,NULL,492
135,National Open and Distance University Universidad Nacional Abierta y a Distancia UNAD,Bogot,Colombia,national.open.and@findmymasters.com,NULL,170
136,ICO NIDA International College,Bangkok,Thailand,ico.nida.international@findmymasters.com,NULL,781
137,INSEAD,Fontainebleau,France,insead@findmymasters.com,NULL,NULL
138,University of Birmingham Online,UK Online,United Kingdom,university.of.birmingham@findmymasters.com,90,NULL
139,Kedge Business School,Marseille,France,kedge.business.school@findmymasters.com,NULL,228
140,University of Wroclaw Faculty of Law Administration and Economics,Wrocaw,Poland,university.of.wroclaw@findmymasters.com,NULL,619
141,Nazarbayev University,NurSultan,Kazakhstan,nazarbayev.university@findmymasters.com,NULL,NULL
142,University of Fort Hare,Alice,South Africa,university.of.fort@findmymasters.com,NULL,NULL
143,Edith Cowan University,Joondalup,Australia,edith.cowan.university@findmymasters.com,651-700,NULL
144,EAE Business School,Barcelona,Spain,eae.business.school@findmymasters.com,NULL,725
145,London School Of International Business LSIB,London,United Kingdom,london.school.of@findmymasters.com,NULL,119
146,The University of Texas at Dallas,Richardson,USA,the.university.of@findmymasters.com,NULL,NULL
147,ISEB Instituto Superior Europeo de Barcelona,Barcelona,Spain,iseb.instituto.superior@findmymasters.com,NULL,725
148,KU Leuven,Leuven,Belgium,ku.leuven@findmymasters.com,70,NULL
149,Saint Josephs University,Philadelphia,USA,saint.josephs.university@findmymasters.com,NULL,NULL
150,University of Portsmouth Online,Portsmouth,United Kingdom,university.of.portsmouth@findmymasters.com,651-700,NULL
151,IberoAmerican University UNIBE,Santo Domingo,Dominican Republic,iberoamerican.university.unibe@findmymasters.com,NULL,201
152,Manhattanville College School of Business,New York,USA,manhattanville.college.school@findmymasters.com,NULL,NULL
153,The American Business School of Paris,Paris,France,the.american.business@findmymasters.com,NULL,235
154,Hilbert College,Hamburg,USA,hilbert.college@findmymasters.com,NULL,251
155,Trinity Washington University,Washington,USA,trinity.washington.university@findmymasters.com,NULL,NULL
156,University of Technology Sydney,Sydney,Australia,university.of.technology@findmymasters.com,38,43
157,Centre for Studies Clinic and Psychological Research Centro de Estudios Cluednica e Investigaciufn Psicolufgica,Campeche,Mexico,centre.for.studies@findmymasters.com,NULL,NULL
158,University of Johannesburg,Johannesburg,South Africa,university.of.johannesburg@findmymasters.com,434,716
159,Rome Business School,Rome,Italy,rome.business.school@findmymasters.com,NULL,405
160,Montpellier Business School,Montpellier,France,montpellier.business.school@findmymasters.com,NULL,230
161,University of Antelope Valley,Lancaster,USA,university.of.antelope@findmymasters.com,NULL,NULL
162,Arden University,Coventry,United Kingdom,arden.university@findmymasters.com,NULL,NULL
163,Hull University Business School,Hull,United Kingdom,hull.university.business@findmymasters.com,651-700,NULL
164,Mahatma Gandhi University Rwanda,Kigali,Rwanda,mahatma.gandhi.university@findmymasters.com,NULL,684
165,Curtin Singapore Navitas,Singapore,Singapore,curtin.singapore.navitas@findmymasters.com,NULL,703
166,ENAC,Toulouse,France,enac@findmymasters.com,NULL,240
167,Rasmussen College Online,Florida City,USA,rasmussen.college.online@findmymasters.com,NULL,NULL
168,GangneungWonju National University,Gangneungsi,South Korea,gangneungwonju.national.university@findmymasters.com,NULL,NULL
169,Ashridge Executive Education,London,United Kingdom,ashridge.executive.education@findmymasters.com,NULL,119
170,Rutgers School of Management and Labor Relations,Piscataway Township,USA,rutgers.school.of@findmymasters.com,NULL,NULL
171,Moscow Metropolitan Governance University,Moscow,Russia,moscow.metropolitan.governance@findmymasters.com,NULL,652
172,Kaitsevuee Akadeemia,Tartu,Estonia,kaitsevuee.akadeemia@findmymasters.com,NULL,774
173,University of Gloucestershire,Gloucester,United Kingdom,university.of.gloucestershire@findmymasters.com,NULL,NULL
174,Siberian State Aerospace University SibSAU,Krasnoyarsk,Russia,siberian.state.aerospace@findmymasters.com,NULL,648
175,Maastricht University Faculty of Arts and Social Sciences,Maastricht,Netherlands,maastricht.university.faculty@findmymasters.com,NULL,NULL
176,Yasar University,Izmir,Turkey,yasar.university@findmymasters.com,NULL,810
177,MEL Erasmus Center for Maritime Economics Logistics,Rotterdam,Netherlands,mel.erasmus.center@findmymasters.com,NULL,547
178,CESMA Business School,Madrid,Spain,cesma.business.school@findmymasters.com,NULL,742
179,IU International University of Applied Sciences Online Studies,Berlin,Germany,iu.international.university@findmymasters.com,NULL,246
180,Trillium College all campuses,Oshawa,Canada,trillium.college.all@findmymasters.com,NULL,NULL
181,UNIR Mexico,Mexico City,Mexico,unir.mexico@findmymasters.com,NULL,503
182,Cardiff University,Cardiff,United Kingdom,cardiff.university@findmymasters.com,151,NULL
183,Moscow State Institute Of International Relations MGIMO,Odintsovo,Russia,moscow.state.institute@findmymasters.com,NULL,NULL
184,The University of Chicago Crown Family School of Social Work Policy and Practice,Chicago,USA,the.university.of@findmymasters.com,NULL,NULL
185,Netherlands Maritime University,Rotterdam,Netherlands,netherlands.maritime.university@findmymasters.com,NULL,547
186,ETAC University Universidad ETAC,Huamantla,Mexico,etac.university.universidad@findmymasters.com,NULL,NULL
187,UTPB Online,Odessa,USA,utpb.online@findmymasters.com,NULL,NULL
188,Turner College Columbus State University,Columbus,USA,turner.college.columbus@findmymasters.com,NULL,NULL
189,ICDA Escuela De Noegcios,,Argentina,icda.escuela.de@findmymasters.com,NULL,NULL
190,University of Surrey,Guildford,United Kingdom,university.of.surrey@findmymasters.com,272,NULL
191,Cranfield School of Management,Cranfield,United Kingdom,cranfield.school.of@findmymasters.com,NULL,NULL
192,Arden Study Centre Berlin,Berlin,Germany,arden.study.centre@findmymasters.com,NULL,246
193,MLA College,Plymouth,United Kingdom,mla.college@findmymasters.com,NULL,NULL
194,Uczelnia Jana Wyucykowskiego,Polkowice,Poland,uczelnia.jana.wyucykowskiego@findmymasters.com,NULL,NULL
195,Shikoku University,Tokushima,Japan,shikoku.university@findmymasters.com,NULL,NULL
196,Kaplan Singapore,Singapore,Singapore,kaplan.singapore@findmymasters.com,NULL,703
197,Lynchburg College,Lynchburg,USA,lynchburg.college@findmymasters.com,NULL,NULL
198,Universidad Ana G Muendez u Campus Florida,Miami Lakes,USA,universidad.ana.g@findmymasters.com,NULL,NULL
199,Adler University,Chicago,USA,adler.university@findmymasters.com,NULL,NULL
200,Instituto Universitario de Investigaciufn Ortega y Gasset,Madrid,Spain,instituto.universitario.de@findmymasters.com,NULL,742
201,University of the Highlands and Islands,Perth,United Kingdom,university.of.the@findmymasters.com,NULL,40
202,The University of Toulouse Graduate School of Management,Toulouse,France,the.university.of@findmymasters.com,NULL,240
203,EOBS European Open Business School,Las Rozas de Madrid,Spain,eobs.european.open@findmymasters.com,NULL,NULL
204,Grenoble Ecole de Management,Grenoble,France,grenoble.ecole.de@findmymasters.com,NULL,NULL
205,Carl H Lindner College of Business University of Cincinnati,Cincinnati,USA,carl.h.lindner@findmymasters.com,NULL,NULL
206,Alliance Manchester Business School The University of Manchester,Manchester,United Kingdom,alliance.manchester.business@findmymasters.com,NULL,NULL
207,Divulgazione Dinamica,Seville,Spain,divulgazione.dinamica@findmymasters.com,NULL,NULL
208,Leeds Beckett University,Leeds,United Kingdom,leeds.beckett.university@findmymasters.com,1001-1200,NULL
209,Singapore Management University,Singapore,Singapore,singapore.management.university@findmymasters.com,511-520,703
210,California State University Dominguez Hills,Carson,USA,california.state.university@findmymasters.com,NULL,NULL
211,Siberian University of Consumer Cooperatives,Novosibirsk,Russia,siberian.university.of@findmymasters.com,NULL,657
212,Rotterdam University of Applied Sciences,Rotterdam,Netherlands,rotterdam.university.of@findmymasters.com,NULL,547
213,Universidad Autonoma de Aguascalientes,Aguascalientes,Mexico,universidad.autonoma.de@findmymasters.com,NULL,NULL
214,Barcelona Executive Business School BEBS,Barcelona,Spain,barcelona.executive.business@findmymasters.com,NULL,725
215,INEAD,France Online,France,inead@findmymasters.com,NULL,NULL
216,AmbergWeiden University Of Applied Sciences OTH,Amberg,Germany,ambergweiden.university.of@findmymasters.com,NULL,245
217,VIU Universidad Internacional de Valencia,Valencia,Spain,viu.universidad.internacional@findmymasters.com,NULL,752
218,ISEG Lisbon School of Economics Management,Lisbon,Portugal,iseg.lisbon.school@findmymasters.com,NULL,624
219,Apsley Business School,London,United Kingdom,apsley.business.school@findmymasters.com,NULL,119
220,United International Business Schools,Zrich,Switzerland,united.international.business@findmymasters.com,NULL,771
221,San Sebastian University,Providencia,Chile,san.sebastian.university@findmymasters.com,NULL,NULL
222,ADEN University,Miami,USA,aden.university@findmymasters.com,NULL,NULL
223,Leiden University,Leiden,Netherlands,leiden.university@findmymasters.com,112,NULL
224,INEDE Business School,Valencian Community,Spain,inede.business.school@findmymasters.com,NULL,NULL
225,Cairn University School of Social Work,Langhorne,USA,cairn.university.school@findmymasters.com,NULL,NULL
226,The University of Texas of the Permian Basin,Odessa,USA,the.university.of@findmymasters.com,NULL,NULL
227,ESIC Business Marketing School,Valencia,Spain,esic.business.marketing@findmymasters.com,NULL,752
228,University of the Latin American Educational Centre Universidad del Centro Educativo Latinoamericano UCEL,Rosario,Argentina,university.of.the@findmymasters.com,NULL,NULL
229,Academia de Studii Economice,Bucharest,Romania,academia.de.studii@findmymasters.com,NULL,632
230,Escuela de Negocios Alto Nivel Universidad Panamericana de Guatemala,Guatemala City,Guatemala,escuela.de.negocios@findmymasters.com,NULL,276
231,Nova Southeastern University Shepard Broad College of Law,Fort Lauderdale,USA,nova.southeastern.university@findmymasters.com,NULL,NULL
232,University of Puecs,Pcs,Hungary,university.of.puecs@findmymasters.com,NULL,NULL
233,American University Online,Washington,USA,american.university.online@findmymasters.com,651-700,NULL
234,Unicaf University ZM,Lusaka,Zambia,unicaf.university.zm@findmymasters.com,NULL,NULL
235,HeriotWatt University Dubai,Academic City,United Arab Emirates,heriotwatt.university.dubai@findmymasters.com,NULL,NULL
236,Sheffield Hallam University,Sheffield,United Kingdom,sheffield.hallam.university@findmymasters.com,1001-1200,NULL
237,wacademy,Ancona,Italy,wacademy@findmymasters.com,NULL,NULL
238,University College of Cundinamarca Universidad Colegio Mayor de Cundinamarca,Bogot,Colombia,university.college.of@findmymasters.com,NULL,170
239,Saint Mark University for Administrative Sciences Universidad en Ciencias Administrativas San Marcos USAM,San Jos,Costa Rica,saint.mark.university@findmymasters.com,NULL,179
240,Universidad Autonoma Del Estado De Mexico,El Tejocote,Mexico,universidad.autonoma.del@findmymasters.com,NULL,NULL
241,OBS Business School,Barcelona,Spain,obs.business.school@findmymasters.com,NULL,725
242,The University of Scranton Online,Scranton,USA,the.university.of@findmymasters.com,NULL,NULL
243,University of Plymouth,Plymouth,United Kingdom,university.of.plymouth@findmymasters.com,601-650,NULL
244,Universidad del Gurabo,Gurabo,Puerto Rico,universidad.del.gurabo@findmymasters.com,NULL,NULL
245,The Hebrew University of Jerusalem,Jerusalem,Israel,the.hebrew.university@findmymasters.com,198,NULL
246,Aucal Business School,Getafe,Spain,aucal.business.school@findmymasters.com,NULL,NULL
247,Muscat University,Muscat,Oman,muscat.university@findmymasters.com,NULL,579
248,Admiral Padilla Naval Academy of Cadets Escuela Naval de Cadetes Almirante Padilla ENAP,Cartagena,Colombia,admiral.padilla.naval@findmymasters.com,NULL,728
249,Andrew Jackson University,Birmingham,USA,andrew.jackson.university@findmymasters.com,NULL,NULL
250,Severn Business College,Leytonstone,United Kingdom,severn.business.college@findmymasters.com,NULL,NULL
251,Midland University,Fremont,USA,midland.university@findmymasters.com,NULL,NULL
252,Cranfield University,Cranfield,United Kingdom,cranfield.university@findmymasters.com,NULL,NULL
253,MIP Politecnico di Milano School of Management,Milan,Italy,mip.politecnico.di@findmymasters.com,142,399
254,Queens University Belfast,Belfast,United Kingdom,queens.university.belfast@findmymasters.com,216,NULL
255,Universidad Europea,Valencian Community,Spain,universidad.europea@findmymasters.com,NULL,NULL
256,Molde University College,Molde,Norway,molde.university.college@findmymasters.com,NULL,573
257,London School of Business And Research,London,United Kingdom,london.school.of@findmymasters.com,NULL,119
258,Barry University School of Professional and Career Education,Melbourne,USA,barry.university.school@findmymasters.com,NULL,39
259,Texas AM University at Galveston,Galveston,USA,texas.am.university@findmymasters.com,NULL,NULL
260,Aztec University Centre,Guadalajara,Mexico,aztec.university.centre@findmymasters.com,NULL,736
261,Athens State University,Athens,USA,athens.state.university@findmymasters.com,1001-1200,261
262,GADE Business School,Madrid,Spain,gade.business.school@findmymasters.com,NULL,742
263,University of Sussex Business School,Brighton,United Kingdom,university.of.sussex@findmymasters.com,226,NULL
264,World Citi Colleges,Quezon City,Philippines,world.citi.colleges@findmymasters.com,NULL,NULL
265,Autonomous University of La Laguna,Mxico,Mexico,autonomous.university.of@findmymasters.com,NULL,NULL
266,Warsaw University of Life Sciences SGGW WULSSGGW,Warsaw,Poland,warsaw.university.of@findmymasters.com,1001-1200,618
267,Wittenborg University of Applied Sciences,Apeldoorn,Netherlands,wittenborg.university.of@findmymasters.com,NULL,NULL
268,Comfenalco Technological University Foundation Fundaciufn Universitaria Tecnolufgico Comfenalco,Cartagena,Colombia,comfenalco.technological.university@findmymasters.com,NULL,728
269,University of New Hampshire,Durham,USA,university.of.new@findmymasters.com,801-1000,NULL
270,University of Bath,Claverton Down,United Kingdom,university.of.bath@findmymasters.com,NULL,NULL
271,Malaysia University of Science and Technology,Petaling Jaya,Malaysia,malaysia.university.of@findmymasters.com,NULL,NULL
272,Stratford College Of Business Management,Telford,United Kingdom,stratford.college.of@findmymasters.com,NULL,NULL
273,Athens University of Economics Business,Athens,Greece,athens.university.of@findmymasters.com,NULL,261
274,University of Southern California USC Sol Price School of Public Policy,Los Angeles,USA,university.of.southern@findmymasters.com,NULL,NULL
275,IMT Mines Albi,Toulouse,France,imt.mines.albi@findmymasters.com,NULL,240
276,Technische Universituet Kaiserslautern,Kaiserslautern,Germany,technische.universituet.kaiserslautern@findmymasters.com,NULL,NULL
277,Campus Stellae Instituto Europeo,Santiago de Compostela,Spain,campus.stellae.instituto@findmymasters.com,NULL,751
278,Australian National University College Of Asia The Pacific,Canberra,Australia,australian.national.university@findmymasters.com,NULL,28
279,ISCTE Business School u Instituto Universituerio de Lisboa,Lisbon,Portugal,iscte.business.school@findmymasters.com,NULL,624
280,Catholic University Centre of Santa Catarina Centro Universituerio Catuflica de Santa Catarina,State of Santa Catarina,Brazil,catholic.university.centre@findmymasters.com,NULL,NULL
281,Fidelitas University,San Pedro,Costa Rica,fidelitas.university@findmymasters.com,NULL,NULL
282,University of Colorado Denver School of Public Affairs,Denver,USA,university.of.colorado@findmymasters.com,NULL,31
283,Bowie State University,Bowie,USA,bowie.state.university@findmymasters.com,NULL,NULL
284,Instituto Europeo de Posgrado Colombia,Madrid,Spain,instituto.europeo.de@findmymasters.com,NULL,742
